game,platform,developer,genre,number_players,release_date,metascore,user_score
Portal 2,PC,Valve Software,Action,,"Apr 18, 2011",95,90
The Elder Scrolls V: Skyrim,PC,Bethesda Game Studios,Role-Playing,No Online Multiplayer,"nov. 10, 2011",94,82
The Legend of Zelda: Ocarina of Time 3D,3DS,GREZZO,Miscellaneous,No Online Multiplayer,"jun. 19, 2011",94,90
Batman: Arkham City,PC,Rocksteady Studios,Action Adventure,,"nov. 21, 2011",91,87
Super Mario 3D Land,3DS,Nintendo,Action,No Online Multiplayer,"nov. 13, 2011",90,84
Deus Ex: Human Revolution,PC,Nixxes Software,Action,No Online Multiplayer,"Aug 23, 2011",90,85
Pushmo,3DS,Intelligent Systems,Miscellaneous,1 Player,"Dec  8, 2011",90,83
Total War: Shogun 2,PC,Creative Assembly,Strategy,Online Multiplayer,"mar. 15, 2011",90,84
FIFA Soccer 12,PC,Electronic Arts,Sports,,"Sep 27, 2011",89,71
Battlefield 3,PC,EA DICE,Action,,"oct. 25, 2011",89,76
LIMBO,PC,PLAYDEAD,Action,No Online Multiplayer,"Aug  2, 2011",88,81
Assassin's Creed: Brotherhood,PC,Ubisoft Montreal,Action Adventure,,"mar. 22, 2011",88,82
The Witcher 2: Assassins of Kings,PC,CD Projekt Red Studio,Role-Playing,No Online Multiplayer,"may. 17, 2011",88,85
Dead Space 2,PC,Visceral Games,Action,,"Jan 25, 2011",87,84
Bastion,PC,Supergiant Games,Action,No Online Multiplayer,"Aug 16, 2011",86,85
Crysis 2,PC,Crytek,Action,,"mar. 22, 2011",86,68
DiRT 3,PC,Codemasters,Driving,,"may. 23, 2011",86,70
Battlefield 3: Back to Karkand,PC,EA DICE,Action,,"Dec 13, 2011",86,72
Super Street Fighter IV: 3D Edition,3DS,Capcom,Action,,"mar. 27, 2011",85,80
Frozen Synapse,PC,Mode 7 Games,Strategy,2,"may. 26, 2011",85,76
Mario Kart 7,3DS,"Retro Studios, Entertainment Analysis & Development Division",Driving,Up to 8,"Dec  4, 2011",85,83
Star Wars: The Old Republic,PC,"LucasArts, BioWare",Sci-Fi,Massively Multiplayer,"Dec 20, 2011",85,59
Saints Row: The Third,PC,Volition Inc.,Action Adventure,2,"nov. 14, 2011",84,81
SpaceChem,PC,Zachtronics Industries,Miscellaneous,No Online Multiplayer,"mar. 2, 2011",84,85
Super Street Fighter IV: Arcade Edition,PC,"Capcom, QLOC",Action,,"jul. 7, 2011",84,77
Football Manager 2012,PC,Sports Interactive,Sports,,"oct. 20, 2011",84,79
